Name,Weight (kg),Height (cm),Country,Age,Team,Sport,Gender,Weight ClassWIN,LOSS,DRAW,W TKO,W Submission,W Disqualification,W Unanimous Decision,W Split Decision,L TKO,L Submission,L Disqualification,L Unanimous Decision,L Split Decision,Total Fights
Kijani Aytch,-1,174.0,United States,31,FA Group,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
“The Fighting God” Kim Jae Woong,65.5,173.0,South Korea,32,Extreme Combat,MMA,Male,Bantamweight,4,5,0,3,0,0,0,0,2,1,0,1,0,9
Kim Kyung Lock,77.0,179.0,South Korea,34,Team Mad,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Kimura Ayumu,60.8,172.0,Japan,25,1,Muay Thai,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Kirill Gorobets,70.1,177.0,Ukraine,31,Team Storm,MMA,Male,Featherweight,1,2,0,0,0,0,1,0,1,0,0,0,1,3
Kirill Grishenko,115.0,193.0,Belarus,33,M2G / MGC,MMA,Male,Heavyweight,4,2,0,2,0,0,2,0,0,1,0,0,0,6
Kirill Khomutov,65.4,176.0,Russia,26,Empire Club / Kuzbass Muaythai team,Muay Thai,Male,Bantamweight,3,2,0,0,0,0,0,0,0,0,0,1,1,5
Kiriluang Chor Hapayak,-1,166.0,Thailand,24,Chor Hapayak,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kochasit Tasaeyasat,-1,165.0,Thailand,27,Wor Auracha,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Kodai “Jake” Murata,65.8,173.0,Japan,33,Paraestra Tokyo Bay,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kohei Shinjo,65.3,170.0,Japan,27,Team First Star,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Kohei Takegami,70.0,185.0,Japan,32,MMA KARATE DOJO TAKA,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Kohei Wakabayashi,-1,167.0,Japan,30,Kobra Cai MMA Dojo,MMA,Male,Out of range,1,1,0,0,0,0,0,1,0,1,0,0,0,2
Kohtao Petsomnuk,-1,156.0,Thailand,20,Petsomnuk,Muay Thai,Male,Out of range,1,2,0,1,0,0,0,0,0,0,0,2,0,3
Kojiro Shiba,54.0,165.0,Japan,19,Gym Fighters,Kickboxing,Male,Strawweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Koki “Dangerous Boy” Osaki,-1,165.0,Japan,25,Oishi Gym,Kickboxing,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Koki “Bazooka Koki” Saito,64.6,175.0,Japan,28,Sugawara Dojo,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Koko Mor Rattanabundit,-1,166.0,Thailand,28,Mor Rattanabundit / TDed99,Muay Thai,Male,Out of range,1,3,0,0,0,0,0,0,1,0,0,2,0,4
Kokoz,-1,160.0,Japan,23,Try Hard Gym,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Komawut FA Group,64.7,165.0,Thailand,26,FA Group,Muay Thai,Male,Bantamweight,7,4,0,0,0,0,2,3,1,0,0,3,0,11
Komkrit J Power Roof Phuket,-1,163.0,Thailand,29,J Power Roof Phuket,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kompet Fairtex,56.3,170.0,Thailand,25,Fairtex Training Center,Muay Thai,Male,Strawweight,6,3,0,1,0,0,5,0,0,0,0,1,0,9
Komronbek Ortikov,60.9,170.0,Uzbekistan,24,Raqobat,MMA,Male,Flyweight,1,1,0,0,0,0,1,0,0,1,0,0,0,2
Kongburapha Thiptamai,-1,162.0,Thailand,25,Thiptamai,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Kongchai Chanaidonmueang,-1,170.0,Thailand,22,Sangtiennoi Gym,Muay Thai,Male,Out of range,8,5,0,0,0,0,5,0,1,0,0,4,0,13
Kongkairop FiatPathum,-1,166.0,Thailand,21,Sitluangpuutian,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kongklai Sor Sommai,63.0,175.0,Thailand,26,Sor Sommai,Muay Thai,Male,Bantamweight,3,6,0,1,0,0,0,0,2,0,0,2,0,9
Kongkula Jitmuangnon,-1,173.0,Thailand,18,Jitmuangnon Gym,Muay Thai,Male,Out of range,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Kongpoxay LaoLaneXang,-1,168.0,Laos,20,MuayLao Lanexang Gym,Muay Thai,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,1,0,2
Kongsuk Fairtex,-1,170.0,Thailand,24,0,Muay Thai,Male,Out of range,6,4,0,0,0,0,5,1,0,0,0,2,1,10
Kongsurin Sor Jor Lekmuangnon,52.8,168.0,Thailand,20,Sor Jor Lekmuangnon,Muay Thai,Male,Strawweight,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Kongthailand Kiatnavy,70.7,180.0,Thailand,29,Kiatnavy,Muay Thai,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Kongthoranee Sor Sommai,61.1,170.0,Thailand,28,Sor Sommai,Muay Thai,Male,Flyweight,11,3,0,0,0,0,6,1,0,0,0,3,0,14
Konstantin Marareskul,69.9,174.0,Moldova,31,Phuket Fight Club,MMA,Male,Featherweight,0,2,1,0,0,0,0,0,0,0,0,1,1,3
Korpai Sor Yingcharoenkarnchang,60.3,173.0,Thailand,23,Sor Yingcharoenkarnchang,Muay Thai,Male,Flyweight,2,0,0,0,0,0,0,0,0,0,0,0,0,2
Koshen Akanov,-1,173.0,Kazakhstan,27,KROC Sports / Tobet Top Team,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Kouta “Black Samurai” Omori,63.7,175.0,Japan,23,PK Saenchai Muaythaigym,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Krisana Daodenmuaythai,63.5,170.0,Thailand,24,Daoden Muay Thai,Muay Thai,Male,Bantamweight,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Kritpet PK Saenchai,-1,-1.0,Thailand,-1,PK Saenchai Muaythaigym,Muay Thai,Male,Out of range,2,4,0,0,0,0,1,0,1,0,0,1,0,6
“Left Meteorite” Kulabdam Sor Jor Piek Uthai,65.8,168.0,Thailand,26,Sor Jor Piek Uthai,Muay Thai,Male,Featherweight,10,5,1,2,0,0,4,0,0,0,0,2,0,16
Kurbanali “Big Show” Isabekov,-1,178.0,Russia,26,Tiger Muay Thai,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
“The Borderland Wolf” Kurbanjiang Tuluosibake,77.1,180.0,China,29,Haoyue Fight Club,MMA,Male,Lightweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Kuroda Naoya,-1,164.0,Japan,28,Hades Workout Gym,Kickboxing,Male,Out of range,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Kwanjai KwanjaiMuaythaigym,54.1,165.0,Thailand,30,Singha Mawyn,Muay Thai,Male,Strawweight,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Kwankhao Por Muangpetch,-1,157.0,Thailand,18,Por Muangpetch,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
“Pretty Boy” Kwon Won Il,65.4,178.0,South Korea,29,Extreme Combat / P-Boy MMA,MMA,Male,Bantamweight,9,5,0,7,0,0,0,0,1,2,0,1,0,14
Lamnamkhong BS Muaythai,61.2,167.0,Laos,24,BS Muaythai,Muay Thai,Male,Flyweight,2,2,0,1,0,0,0,0,0,0,0,1,0,4
Lamnamoonlek Tded99,-1,169.0,Thailand,27,TDed99,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Lamsing Sor Dechapan,58.1,170.0,Thailand,29,Sor Dechapan,Muay Thai,Male,Flyweight,4,1,0,1,0,0,2,0,0,0,0,1,0,5
Lan Shanteng,-1,170.0,China,21,Shengli Fight Club,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Lanyakaew Tor Silapon,53.3,160.0,Thailand,24,Jacky Gym,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Lara Fernandez,52.8,165.0,Spain,28,Lone Wolf Fight Team,Muay Thai,Male,Strawweight,1,4,0,0,0,0,0,1,1,0,0,3,0,5
Lea “First Moon” Bivins,53.0,165.0,United States,22,House of Moons,MMA,Male,Strawweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Leandro “Wolf” Ataides,93.0,184.0,Brazil,38,Nova União,MMA,Male,Light Heavyweight,6,4,0,3,0,0,1,0,0,0,0,1,1,10
Leandro “The Machine Jr.” Gomes,61.1,170.0,Portugal,22,RS Team,MMA,Male,Flyweight,1,1,0,1,0,0,0,0,0,1,0,0,0,2
Leandro “Brodinho” Issa,65.3,168.0,Brazil,41,Evolve MMA,MMA,Male,Bantamweight,7,4,0,1,2,0,4,0,2,0,0,1,0,11
Leandro “Gorilla” Miranda,61.1,169.0,Portugal,26,Mamba Fight Club,Kickboxing,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lee Jun Hwan,-1,178.0,South Korea,26,Fairtex Training Center,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lee “Bad Guy” Jun Young,61.1,172.0,South Korea,30,SSABI-MMA,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lee “The Flash” Seung Chul,56.1,163.0,South Korea,26,DK Gym,MMA,Male,Strawweight,2,0,0,2,0,0,0,0,0,0,0,0,0,2
Lehe “Lehe F3”,56.7,169.0,Malaysia,28,Muay Thai 98 Fitness Gym,MMA,NA,Flyweight,1,1,0,0,0,0,0,0,1,0,0,0,0,2
Lekkla BS Muaythai,-1,175.0,Thailand,20,BS Muaythai,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Lena Nocker,-1,166.0,Italy,28,Tiger Muay Thai,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lenny Blasi,-1,180.0,Italy,20,Team Calzolari,Muay Thai,Male,Out of range,1,2,0,0,0,0,0,0,1,0,0,1,0,3
Leonardo Casotti,-1,175.0,Brazil,33,Nova União Phuket,MMA,Male,Out of range,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Li-Chih “Yeh Sifu” Yeh,51.4,165.0,"Taipei, China",30,Dragon Fighter Agency,Muay Thai,Male,Atomweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“The Diamond” Li Hong Jiang,70.3,171.0,China,36,A.256 Super Evolution Team,MMA,Male,Featherweight,1,2,0,1,0,0,0,0,0,1,0,1,0,3
Li Hong Lin,56.7,172.0,China,24,Beijing Ningguangyou Combat and Fitness Club,MMA,Male,Flyweight,3,2,0,1,2,0,0,0,0,2,0,0,0,5
“Tiger” Li Shuai Hu,61.2,170.0,China,38,Haosheng MMA,MMA,Male,Flyweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Li Yuan Kun,61.2,170.0,China,26,XingHui BoJi Club,Kickboxing,Male,Flyweight,3,0,0,2,0,0,1,0,0,0,0,0,0,3
Liam “Hitman” Harrison,65.8,170.0,United Kingdom,39,Bad Company,Muay Thai,Male,Featherweight,2,4,0,1,0,0,0,0,2,0,0,1,0,6
“Lethal” Liam Nolan,76.8,187.0,United Kingdom,28,Nolan Muay Thai,Muay Thai,Male,Lightweight,4,5,0,1,0,0,3,0,1,0,0,1,0,9
“Fire Dragon King” Lianyang Xia,-1,170.0,China,29,Chengjie Fight,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Liao Shixu,-1,180.0,China,19,White Shark Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Liisi Vaht,-1,170.0,Estonia,33,Estum Jiu-Jitsu / Fairtex Training Center,Submission Grappling,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
“MMA Sister” Lin Heqin,52.2,167.0,China,31,Haosheng MMA,MMA,Male,Strawweight,3,3,0,0,1,0,2,0,0,0,0,2,1,6
Linda Darrow,-1,163.0,Indonesia,35,Han Fight Academy,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Lisa Brierley,-1,164.0,United Kingdom,34,Manasak Muay Thai,Muay Thai,Male,Out of range,2,2,0,0,0,0,1,0,0,0,0,0,0,4
Lisa “The Savage” Kyriacou,56.7,165.0,Australia,31,Absolute MMA,MMA,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Lito “Thunder Kid” Adiwang,56.6,162.0,Philippines,32,Soma Fight Club,MMA,Male,Strawweight,9,4,0,3,1,0,4,0,1,1,0,1,1,13
Liu Gui Cheng,70.3,180.0,China,26,Rongdao Fight Club,Kickboxing,Male,Featherweight,1,1,0,0,0,0,1,0,1,0,0,0,0,2
Liu Hai Yang,61.2,173.0,China,27,Bangkok of Light,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Liu Jing Peng,65.8,175.0,China,37,Longyun MMA,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Liu Junchao,-1,172.0,China,20,Sheng Li Ren He,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Liu Meng Yu,65.8,172.0,China,30,North Dalian MMA,MMA,Male,Featherweight,2,2,0,1,0,0,1,0,1,0,0,0,1,4
Liu Mengyang,-1,-1.0,China,1,0,Kickboxing,Male,Out of range,1,1,0,0,0,0,1,0,0,0,0,0,1,2
Liu Quan,61.2,170.0,China,24,Shengli Fight Club,Kickboxing,Male,Flyweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
“The King of KO” Liu Wei,65.8,180.0,China,33,Journey of Fight Club,Kickboxing,Male,Featherweight,0,2,0,0,0,0,0,0,0,0,0,2,0,2
Liu “Three Knives” Ya Ning,77.1,175.0,China,32,Fighting Elements Gym Team B,Sanda,Male,Lightweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Liu Yao Hong,56.7,167.0,China,29,Bangkok of Light.256,Muay Thai,Male,Flyweight,0,2,0,0,0,0,0,0,1,0,0,1,0,2
Liu Zhi Peng,58.5,166.0,China,27,Daqin Qianqiu Fight Club,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Long La,70.3,165.0,Cambodia,25,Cambodian Top Team,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Longern Sor Sommai,-1,165.0,Thailand,25,Sor Sommai,Muay Thai,Male,Out of range,2,3,0,1,0,0,1,0,0,0,0,2,0,5
Lookkwan Sujeebameekiew,54.6,170.0,Thailand,23,Sujeebameekiew,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Lorenzo Di Vara,-1,178.0,Italy,29,Sor Dechapan / The King Fight Club,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lothong Kruaynaimuanggym,58.0,175.0,Thailand,17,Kruaynaimuang Gym,Muay Thai,Male,Flyweight,1,1,0,0,0,0,0,0,0,0,0,0,1,2
Lowen Tynanes,76.5,177.0,United States,34,Hawaii Elite MMA,MMA,Male,Lightweight,7,2,0,2,2,0,2,1,0,0,0,1,1,9
“Black Panther” Lu Jun,63.0,177.0,China,30,Shengli Fight Club,Kickboxing,Male,Bantamweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
“The Zhongyuan Weapon” Lu Rui Lei,70.3,171.0,China,27,A.256 Super Evolution Team / Beijing Taobo Fight Club,Kickboxing,Male,Featherweight,2,1,0,0,0,0,1,1,0,0,0,1,0,3
Lu Yifu,55.2,172.0,China,22,White Shark Fight Club,Muay Thai,Male,Strawweight,0,2,0,0,0,0,0,0,0,0,0,1,0,2
“The Wild Boar” Lu Zhao Huang,68.0,170.0,China,29,Super Gain Fighting Gym,MMA,Male,Featherweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Lu Zheng,77.1,180.0,China,34,Equilibrium Beijing,MMA,Male,Lightweight,2,0,0,0,0,0,1,0,0,0,0,0,0,2
Luapong Kaewsamrit,56.7,173.0,Thailand,18,Kaewsamrit Gym,Muay Thai,Male,Flyweight,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Luca “The Sniper” Cecchetti,56.4,167.0,Italy,34,Kick and Punch Milano,Kickboxing,Male,Strawweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Luca “Sicilian Warrior” Lombardo,-1,182.0,Italy,31,Kaewsamrit Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lucas Gabriel,70.31,175.0,Brazil,25,Nova União Phuket,MMA,Male,Lightweight,4,0,0,0,1,0,3,0,0,0,0,0,0,4
Lucas “Tazmania” Ganin,65.4,167.0,Argentina,29,IS 360 Sport Academy,MMA,Male,Bantamweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Luke “The Chef” Lessei,65.77,185.0,United States,29,Dubuque Martial Arts Group,Muay Thai,Male,Featherweight,2,2,0,1,0,0,0,1,1,0,0,1,0,4
Luo Chao,70.3,180.0,China,24,Shengli Fight Club,Kickboxing,Male,Featherweight,4,1,0,2,0,0,0,1,0,0,0,0,1,5
Luo Zhou Jiang Cuo,70.3,185.0,China,26,Longyun MMA,MMA,Male,Featherweight,2,2,0,0,2,0,0,0,0,0,0,2,0,4
Luong Thanh Phuc,-1,175.0,Vietnam,25,NO.1 Muay Thai Club,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Lyndon Knowles,102.06,182.0,United Kingdom,38,Knowlesy Academy,Muay Thai,Male,Heavyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
“Cannon” Ma Jia Wen,70.3,175.0,China,28,Tianjin I Fitness,MMA,Male,Featherweight,6,4,0,3,1,0,2,0,1,1,0,1,0,10
Ma Meng Hao,77.1,180.0,China,37,Fighting Bros Club,MMA,Male,Lightweight,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Ma Teng,72.0,178.0,China,29,Super Gain Fighting Gym,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
“Tank” Ma Xu Dong,68.0,171.0,China,34,SHLC MMA,MMA,Male,Featherweight,0,2,0,0,0,0,0,0,0,1,0,0,0,2
Macarena Aragon,47.63,155.0,Argentina,23,Academia Ribas Famili,MMA,Male,Atomweight,1,1,0,0,0,0,1,0,0,1,0,0,0,2
Maciej Karpinski,-1,187.0,Poland,29,KO Gym Muay Thai Wrocław,Muay Thai,Male,Out of range,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Maemmot Sor Salacheep,-1,173.0,Thailand,18,Sor Salacheep,Muay Thai,Male,Out of range,1,1,0,0,0,0,0,0,0,0,0,0,0,2
Magnum Sor Sommai,58.6,169.0,Thailand,27,Sor Sommai,Muay Thai,Male,Flyweight,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Magnus “Crazy Viking” Andersson,70.3,184.0,Sweden,31,Revolution Muay Thai Phuket,Muay Thai,Male,Featherweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Magomed Akaev,70.3,175.0,Russia,29,Black Dragon,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,0,0,0,1,1
Magomed “Argo” Magomedov,-1,174.0,Uzbekistan,26,Fight Geek / Team UF - Raqobat,MMA,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Magomed Magomedov,76.8,184.0,Russia,26,Fighter,Kickboxing,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Magomet Matiev,76.8,186.0,Russia,34,Phuket Grappling Academy,Submission Grappling,Male,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Mahamongkol Move on Chiangmai,-1,170.0,Thailand,25,CMA Muay Thai academy,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Mahesuan Aekmuangnon,52.0,165.0,Thailand,24,Singpatong,Muay Thai,Male,Atomweight,2,2,0,2,0,0,0,0,0,0,0,1,0,4
Maira Mazar,56.7,165.0,Brazil,39,Evolve MMA,MMA,Male,Flyweight,1,2,0,1,0,0,0,0,0,2,0,0,0,3
Maisangkum Sor Yingcharoenkarnchang,-1,164.0,Thailand,24,Boxing Army 3,Muay Thai,Male,Out of range,6,1,0,0,0,0,2,0,0,0,0,0,0,7
Majid Karimi,56.4,173.0,Iran,28,Team Mehdi Zatout,Muay Thai,Male,Strawweight,2,2,0,0,0,0,0,0,0,0,0,1,0,4
Majid “Rod Tai” Seydali,-1,170.0,Iran,26,Petchsaman Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Maksim Bakhtin,76.8,191.0,Russia,22,Muay Thai Union,Muay Thai,Male,Lightweight,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Makuto Sato,56.5,168.0,Japan,21,PK Saenchai Muaythaigym,Muay Thai,Male,Strawweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Mamuka Usubyan,70.1,180.0,Russia,31,Archangel Michel,Muay Thai,Male,Featherweight,2,0,0,0,0,0,1,0,0,0,0,0,0,2
Mansur Gitinov,76.6,180.0,Russia,22,Amanat Fight Club / Teiwaz Striking,MMA,Male,Lightweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Mansur Malachiev,56.7,167.0,Russia,33,Industrial Fighters,MMA,Male,Flyweight,3,1,0,0,1,0,2,0,0,0,0,1,0,4
Manthan “Metal” Rane,56.7,173.0,India,28,Team Relentless,MMA,Male,Flyweight,2,1,0,0,0,0,2,0,0,0,0,1,0,3
ManU Sitjanim,-1,165.0,Thailand,23,Meenayothin,Muay Thai,Male,Out of range,1,1,0,0,0,0,1,0,1,0,0,0,0,2
Marat “Cobra” Gafurov,79.4,175.0,Russia,40,Top Team Makhachkala,Submission Grappling,Male,Welterweight,10,6,0,1,7,0,1,1,1,3,0,1,0,16
Marat Grigorian,70.4,176.0,Armenia,34,Hemmers Gym,Kickboxing,Male,Lightweight,5,3,0,1,0,0,1,0,0,0,0,3,0,8
Marcelo Garcia,-1,-1.0,Brazil,42,1,Submission Grappling,Male,Out of range,1,0,0,0,1,0,0,0,0,0,0,0,0,1
Marcus “Marcote” Paulo Amaral,-1,167.0,Brazil,32,Nordeste Jiu Jitsu,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Mardanglek Nakatawan,-1,175.0,Thailand,30,Sit Kruwut,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Mardsing Khaolakmuaythai,62.0,166.0,Thailand,29,Khaolak Muaythai,Muay Thai,Male,Bantamweight,1,2,0,0,0,0,1,0,0,0,0,1,0,3
Mariane “Trigun” Mariano,-1,155.0,Philippines,36,Fabricio Manila MMA / Veterans Gym,MMA,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Marie McManamon,61.23,165.0,England / Ireland,34,The Knowlesy Academy,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Martin Batur,110.7,194.0,Croatia,33,UFD Gym,MMA,Male,Heavyweight,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Martin “The Situ-Asian” Nguyen,70.3,173.0,Australia / Vietnam,36,Hard Knocks 365,MMA,Male,Featherweight,12,8,0,4,2,0,1,1,1,2,0,2,1,20
Martine “The Italian Queen” Michieletto,58.6,170.0,Italy,32,Fighting Club Valle d’Aosta,Muay Thai,Male,Flyweight,1,1,0,0,0,0,1,0,0,0,0,1,0,2
Martyna Kierczynska,47.63,164.0,Poland,23,Legion Glogow,Muay Thai,Male,Atomweight,2,1,0,1,0,0,0,1,0,0,0,1,0,3
Marvin Dittrich,51.8,163.0,Germany,27,Silk Muay Thai,Muay Thai,Male,Atomweight,1,1,0,1,0,0,0,0,0,0,0,0,0,2
Marwin “Green Goblin” Quirante,-1,165.0,Philippines,22,AJJ Sprawl / KROC Sports,MMA,Male,Out of range,2,1,0,1,1,0,0,0,1,0,0,0,0,3
Masahito Okuyama,-1,175.0,Japan,21,Oishi Gym,Kickboxing,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Masakazu “Ashikan-Judan” Imanari,64.4,165.0,Japan,49,Imanari Jiujitsu,Submission Grappling,Male,Bantamweight,3,5,0,0,3,0,0,0,0,2,0,3,0,8
Masatoshi “Masa Bravely” Hirai,55.2,168.0,Japan,33,Bravely Gym,Muay Thai,Male,Strawweight,1,1,0,0,0,0,0,0,0,0,0,1,0,2
Masaya Katsuno,60.6,173.0,Japan,30,Try Hard Gym,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Masayoshi Tsuhashi,65.6,179.0,Japan,32,Free Fighter,Muay Thai,Male,Bantamweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Matheus Gabriel,76.2,170.0,Brazil,28,Checkmat,Submission Grappling,Male,Lightweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Matheus “Guiado por Deus” Pereira,-1,183.0,Brazil,28,Phuket Fight Club,MMA,Male,Out of range,3,1,0,2,1,0,0,0,0,0,0,1,0,4
Matias “El Rasta” Farinelli,67.9,170.0,Argentina,40,Demonios Team Argentina,MMA,Male,Featherweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Matt “Pirate” Korro,61.2,173.0,Malaysia,39,Nook Kok Supergame Muay Thai Gym,MMA,Male,Flyweight,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Maurice Abevi,78.9,184.0,Switzerland,25,360 Martial Arts / Phuket Grappling Academy / Tiger Muay Thai,MMA,Male,Welterweight,3,1,0,2,0,0,1,0,0,0,0,1,0,4
Mauro “The Hammer” Cerilli,115.1,190.0,Italy,42,Aurora Fight Team,MMA,Male,Heavyweight,3,4,0,3,0,0,0,0,2,0,0,1,0,7
Mauro “Dinamita” Mastromarini,61.23,173.0,Argentina,26,Team Fenix,MMA,Male,Bantamweight,0,1,0,0,0,0,0,0,1,0,0,0,0,1
Mavlonbek “Warrior” Kakhkhorov,-1,178.0,Uzbekistan,38,Flipside,Muay Thai,Male,Out of range,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Mavlud Tifiyev,-1,175.0,Uzbekistan,35,Tiger Muay Thai,Muay Thai,Male,Out of range,3,4,0,0,0,0,2,0,0,0,0,3,0,7
Mawin Soonkelahuaitom,58.0,168.0,Thailand,27,Soonkelahuaitom,Muay Thai,Male,Flyweight,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Maxime “Rukundo” Combes,57.5,177.0,Democratic Republic of the Congo / France,23,Looksuan / Mahmoudi Gym,Muay Thai,Male,Flyweight,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Maxwell “Leonidas” Djantou Nana,119.6,194.0,Cameroon,34,Manchester Top Team,MMA,Male,Heavyweight,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Meeka “The Prince” Michael,-1,186.0,Australia,28,Riddlers Gym,Muay Thai,Male,Out of range,0,1,0,0,0,0,0,0,0,0,0,1,0,1
Mehdi Barghi,115.1,183.0,Iran,39,Eltefat,MMA,Male,Heavyweight,0,2,0,0,0,0,0,0,1,1,0,0,0,2
